Pais;Continente
Africa; África
Africa Occidental; África
Antillas Neerlandesas; América del Sur
Banglades; Asia
Caribe Occidental; América del Sur
Irlanda; Europa
Union Sovietica; Europa
Angola; África
Argelia; África
Cabo Verde; África
Camerun; África
Central African Republic; África
Chad; África
Comoras; África
Congo; África
Costa de Marfil; África
Egipto; África
Egypt; África
Equatorial Guinea; África
Ethiopia; África
Fiyi; África
Gabon; África
Groenlandia; África
Guatemala; África
Guernsey; África
Kenia; África
Kenya; África
Lesoto; África
Liberia; África
Libia; África
Libya; África
Madagascar; África
Malawi; África
Mali; África
Marruecos; África
Mauritania; África
Mozambique; África
Niger; África
Nigeria; África
Republica del Congo; África
Republica Democratica del Congo; África
Rhodesia; África
Rodesia; África
Royal Air Maroc; África
Ruanda; África
Senegal; África
Somalia; África
Sudafrica; África
Sudan; África
Sudan del Sur; África
Tanzania; África
Tunez; África
Uganda; África
Yibuti; África
Zaire; África
Zambia; África
Zimbabue; África
Belice; América Central
Costa Rica; América Central
Cuba; América Central
El Salvador; América Central
Grecia; América Central
Guinea Ecuatorial; América Central
Guinea-Bissau; América Central
Nicaragua; América Central
Panama; América Central
Republica Dominicana; América Central
Trinidad y Tobago; América Central
Antigua y Barbuda; América del Norte
Aruba; América del Norte
Bahamas; América del Norte
Canada; América del Norte
Estados Unidos; América del Norte
Ghana; América del Norte
Islas del Caribe; América del Norte
Islas Virgenes; América del Norte
Jamaica; América del Norte
Martinica; América del Norte
Mexico; América del Norte
Montserrat; América del Norte
Puerto Rico; América del Norte
San Vicente y las Granadinas; América del Norte
United States; América del Norte
Argentina; América del Sur
Bolivia; América del Sur
Brasil; América del Sur
Brazil; América del Sur
Chile; América del Sur
Colombia; América del Sur
Ecuador; América del Sur
Guinea; América del Sur
Paraguay; América del Sur
Peru; América del Sur
Surinam; América del Sur
Uruguaya; América del Sur
Venezuela; América del Sur
Afganistan; Asia
Afghanistan; Asia
Arabia Saudita; Asia
Armenia; Asia
Azerbaiyan; Asia
Bahrein; Asia
Bangladesh; Asia
Birmania; Asia
Camboya; Asia
China; Asia
Corea del Norte; Asia
Corea del Sur; Asia
Emiratos Arabes Unidos; Asia
Etiopia; Asia
Guyana; Asia
Honduras; Asia
Hong Kong; Asia
Hungria; Asia
India; Asia
Islas Feroe; Asia
Israel; Asia
Japan; Asia
Japon; Asia
Jordania; Asia
Kazajistan; Asia
Kazajstan; Asia
Kazakhstan; Asia
Kirguistan; Asia
Kuwait; Asia
Laos; Asia
Libano; Asia
Malasia; Asia
Malaysia; Asia
Maldivas; Asia
Mongolia; Asia
Myanmar; Asia
Nepal; Asia
Pakistan; Asia
Philippines; Asia
Singapur; Asia
Siria; Asia
South Korea; Asia
Sri Lanka; Asia
Tailandia; Asia
Taiwan; Asia
Tayikistan; Asia
Turkmenistan; Asia
Uzbekistan; Asia
Vietnam; Asia
Vietnam del Sur; Asia
Yemen; Asia
Albania; Europa
Alemania; Europa
Alemania Occidental; Europa
Alemania Oriental; Europa
Austria; Europa
Belgica; Europa
Bielorrusia; Europa
Bulgaria; Europa
Bulgaria y Union Sovietica; Europa
Checoslovaquia; Europa
Chipre; Europa
Dinamarca; Europa
Eslovaquia; Europa
Eslovenia; Europa
España; Europa
Filipinas; Europa
Finlandia; Europa
France; Europa
Francia; Europa
Georgia; Europa
Germany; Europa
Greece; Europa
Haiti; Europa
Indonesia; Europa
Irak; Europa
Iran; Europa
Islandia; Europa
Italia; Europa
Italy; Europa
Luxemburgo; Europa
Macedonia; Europa
Malta; Europa
Moldavia; Europa
North Macedonia; Europa
Noruega; Europa
Paises Bajos; Europa
Poland; Europa
Polonia; Europa
Portugal; Europa
Reino Unido; Europa
Republica Checa; Europa
Rumania; Europa
Serbia; Europa
Suecia; Europa
Suiza; Europa
Ucrania; Europa
United Kingdom; Europa
Yugoslavia; Europa
Rusia; Europa
Turquia; Europa
Australia; Oceanía
Finland; Oceanía
Islas del Canal; Oceanía
Islas Salomon; Oceanía
Nueva Caledonia; Oceanía
Nueva Zelanda; Oceanía
Papua Nueva Guinea; Oceanía
Polinesia Francesa; Oceanía
Samoa; Oceanía
Vanuatu; Oceanía
